id,age,count
287,-12,39
287,-11,26
287,-10,66
287,-9,105
287,-8,66
287,-7,39
287,-6,13
287,-5,105
287,-4,39
287,-3,184
287,-2,157
287,-1,39
288,-19,23
288,-18,10
288,-17,13
288,-16,10
288,-15,2
288,-14,4
288,-13,4
288,-12,10
288,-11,2
288,-10,8
288,-9,4
288,-8,10
288,-7,4
288,-5,13
288,-4,4
288,-3,25
288,-2,17
288,-1,2
436,-20,20
436,-19,61
436,-18,141
436,-17,61
436,-16,61
436,-15,20
436,-13,81
436,-12,81
436,-11,121
436,-9,61
436,-8,101
436,-7,20
436,-6,20
436,-5,141
436,-4,242
436,-3,222
436,-2,121
436,-1,61
441,-20,17
441,-19,33
441,-18,17
441,-17,33
441,-16,8
441,-14,25
441,-13,58
441,-12,58
441,-11,58
441,-10,58
441,-9,33
441,-8,25
441,-7,8
441,-6,33
441,-5,17
441,-4,74
441,-3,66
441,-2,99
441,-1,25
442,-20,26
442,-19,157
442,-18,52
442,-17,26
442,-15,131
442,-13,236
442,-12,26
442,-11,105
442,-10,52
442,-9,131
442,-8,52
442,-6,52
442,-5,105
442,-4,210
442,-3,183
442,-2,183
442,-1,288
443,-20,72
443,-19,434
443,-18,289
443,-17,543
443,-16,181
443,-15,145
443,-14,181
443,-13,145
443,-12,362
443,-11,398
443,-10,36
443,-9,326
443,-8,579
443,-7,217
443,-6,72
443,-5,253
443,-4,217
443,-3,941
443,-2,905
443,-1,398
463,-20,136
463,-19,931
463,-18,175
463,-17,213
463,-16,892
463,-15,757
463,-14,330
463,-13,116
463,-12,272
463,-11,291
463,-10,97
463,-9,155
463,-8,407
463,-7,175
463,-6,58
463,-5,407
463,-4,194
463,-3,970
463,-2,543
463,-1,330
464,-20,5
464,-19,169
464,-18,117
464,-17,104
464,-16,63
464,-15,120
464,-14,115
464,-13,150
464,-12,147
464,-11,145
464,-10,136
464,-9,57
464,-8,68
464,-7,30
464,-6,55
464,-5,65
464,-4,131
464,-3,303
464,-2,221
464,-1,232
465,-20,49
465,-19,395
465,-18,641
465,-17,543
465,-16,444
465,-15,641
465,-14,247
465,-13,247
465,-12,641
465,-11,592
465,-10,543
465,-9,740
465,-8,493
465,-7,592
465,-6,888
465,-5,690
465,-4,543
465,-3,1825
465,-2,1628
465,-1,1233
466,-19,44
466,-18,87
466,-17,87
466,-16,109
466,-14,65
466,-13,44
466,-12,87
466,-11,65
466,-10,44
466,-9,22
466,-7,87
466,-6,109
466,-4,65
466,-3,306
466,-2,131
466,-1,87
469,-20,9
469,-19,78
469,-18,35
469,-17,69
469,-16,17
469,-15,9
469,-13,9
469,-12,69
469,-11,78
469,-10,104
469,-9,52
469,-8,43
469,-7,17
469,-6,35
469,-5,9
469,-4,69
469,-3,173
469,-2,138
469,-1,112
470,-19,242
470,-18,48
470,-17,48
470,-16,194
470,-14,48
470,-13,48
470,-11,339
470,-10,48
470,-9,145
470,-7,145
470,-5,339
470,-4,242
470,-3,290
470,-2,339
470,-1,339
471,-20,1
471,-19,5
471,-18,3
471,-17,2
471,-16,2
471,-15,1
471,-14,0
471,-13,1
471,-12,3
471,-11,4
471,-10,3
471,-9,1
471,-8,3
471,-7,2
471,-6,1
471,-5,3
471,-4,4
471,-3,5
471,-2,5
471,-1,1
477,-19,85
477,-18,42
477,-17,127
477,-16,21
477,-15,85
477,-14,42
477,-13,21
477,-12,127
477,-11,170
477,-10,127
477,-9,85
477,-8,106
477,-6,21
477,-5,64
477,-4,85
477,-3,233
477,-2,170
479,-19,167
479,-18,71
479,-17,262
479,-16,119
479,-15,48
479,-14,71
479,-13,143
479,-12,95
479,-11,310
479,-10,286
479,-8,167
479,-7,214
479,-6,95
479,-5,119
479,-4,167
479,-3,476
479,-2,738
479,-1,238
481,-20,57
481,-19,285
481,-18,57
481,-17,171
481,-16,86
481,-15,29
481,-14,86
481,-13,143
481,-12,57
481,-11,114
481,-10,171
481,-9,114
481,-8,114
481,-7,29
481,-6,86
481,-5,86
481,-4,143
481,-3,456
481,-2,371
481,-1,200
484,-20,322
484,-19,1209
484,-18,927
484,-17,846
484,-16,645
484,-15,322
484,-14,242
484,-13,403
484,-12,161
484,-11,967
484,-10,1007
484,-9,645
484,-8,403
484,-7,524
484,-6,242
484,-5,927
484,-4,1249
484,-3,2417
484,-2,1329
484,-1,1209
485,-19,395
485,-18,444
485,-17,148
485,-16,99
485,-15,296
485,-14,148
485,-13,197
485,-12,444
485,-11,493
485,-10,296
485,-9,395
485,-8,296
485,-7,493
485,-6,99
485,-5,444
485,-4,543
485,-3,2170
485,-2,1036
485,-1,1578
486,-20,146
486,-19,535
486,-18,365
486,-17,268
486,-16,97
486,-15,316
486,-14,243
486,-13,170
486,-12,462
486,-11,365
486,-10,487
486,-9,316
486,-8,122
486,-7,170
486,-6,292
486,-5,706
486,-4,633
486,-3,949
486,-2,998
486,-1,560
489,-20,64
489,-19,257
489,-18,64
489,-17,101
489,-16,46
489,-15,28
489,-14,28
489,-13,73
489,-12,138
489,-11,156
489,-10,101
489,-9,73
489,-8,46
489,-7,73
489,-6,73
489,-5,101
489,-4,211
489,-3,257
489,-2,275
489,-1,110
502,-19,431
502,-18,86
502,-17,173
502,-16,115
502,-15,115
502,-13,115
502,-12,173
502,-11,230
502,-10,29
502,-9,230
502,-8,144
502,-7,115
502,-6,288
502,-5,230
502,-4,86
502,-3,374
502,-2,891
502,-1,259
504,-20,65
504,-19,360
504,-18,163
504,-17,98
504,-16,163
504,-15,33
504,-14,65
504,-13,65
504,-12,196
504,-11,131
504,-10,196
504,-9,196
504,-8,65
504,-7,327
504,-6,131
504,-5,327
504,-4,294
504,-3,621
504,-2,621
504,-1,131
516,-19,71
516,-18,47
516,-17,24
516,-16,71
516,-11,71
516,-10,24
516,-9,47
516,-8,24
516,-7,94
516,-4,94
516,-3,259
516,-1,24
519,-20,113
519,-19,718
519,-18,450
519,-17,580
519,-16,433
519,-15,338
519,-14,225
519,-13,234
519,-12,511
519,-11,840
519,-10,727
519,-9,433
519,-8,485
519,-7,303
519,-6,355
519,-5,666
519,-4,684
519,-3,1004
519,-2,554
519,-1,389
525,-19,3
525,-18,3
525,-17,10
525,-16,7
525,-15,6
525,-13,9
525,-12,14
525,-11,1
525,-10,10
525,-9,12
525,-8,6
525,-7,9
525,-6,4
525,-5,13
525,-4,9
525,-3,29
525,-2,17
525,-1,16
526,-20,113
526,-19,451
526,-18,451
526,-17,451
526,-16,301
526,-15,226
526,-14,338
526,-13,263
526,-12,451
526,-11,301
526,-10,865
526,-9,451
526,-8,338
526,-7,263
526,-6,75
526,-5,451
526,-4,752
526,-3,1617
526,-2,1504
526,-1,1015
527,-20,211
527,-19,1137
527,-18,727
527,-17,476
527,-16,621
527,-15,476
